loanID,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,is_bad
46447519,10200,10200,10200.0, 36 months,10.99,333.89,B,B2,Supply Technician,10+ years,RENT,50431.0,Not Verified,n,,  Borrower added on 11/08/13 > To pay off high interest rate credit card and use remaining balance for home improvement.<br>,debt_consolidation,Debit Consolidation,853xx,AZ,21.01,1.0,Nov-1996,0.0,23.0,,13.0,0.0,9439,57.2,32.0,w,0
73279644,15000,15000,15000.0, 36 months,13.18,506.72,C,C3,Project manager,< 1 year,MORTGAGE,50000.0,Verified,n,,,debt_consolidation,Debt consolidation,554xx,MN,7.8,0.0,Dec-2003,0.0,,,7.0,0.0,8390,64.0,16.0,w,1
80170696,20000,20000,20000.0, 60 months,15.8,484.24,C,C3,ZeroChaos,2 years,RENT,61000.0,Verified,n,,  Borrower added on 06/17/13 > For debt consolidation.<br>,debt_consolidation,Debt Consolidation,951xx,CA,20.09,0.0,Jun-2004,0.0,,,8.0,0.0,12208,55.2,23.0,f,0
69067746,11200,11200,11175.0, 60 months,12.29,250.79,C,C1,Sales,10+ years,RENT,40000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,258xx,WV,37.89,0.0,Feb-2004,0.0,,,15.0,0.0,19564,70.9,28.0,w,0
97054824,12000,12000,12000.0, 36 months,12.29,400.24,C,C1,VP of CCT,5 years,RENT,119000.0,Verified,n,,,debt_consolidation,Debt consolidation,303xx,GA,12.6,0.0,Jun-2001,2.0,,97.0,29.0,1.0,14917,16.0,35.0,f,0
84908459,12000,12000,12000.0, 36 months,6.49,367.74,A,A2,"Manager, Business Analytics",7 years,MORTGAGE,110250.0,Source Verified,n,,,home_improvement,Home improvement,600xx,IL,12.16,0.0,Jul-2003,0.0,,,7.0,0.0,8795,15.4,19.0,f,0
87298633,18000,18000,18000.0, 36 months,13.33,609.36,C,C3,Credit Analyst III,7 years,RENT,70000.0,Source Verified,n,,,credit_card,Credit card refinancing,606xx,IL,22.75,0.0,May-2008,1.0,25.0,,11.0,0.0,18058,65.9,21.0,f,0
58030220,13600,13600,13600.0, 36 months,7.9,425.55,A,A4,Accounts Manager,5 years,MORTGAGE,120000.0,Not Verified,n,,  Borrower added on 01/07/14 > This loan would allow me to pay off credit cards have one loan payment which would allow for my savings account to grow.<br>This loan would allow me to have a great budget moving forward.<br>,debt_consolidation,Debt consolidation,925xx,CA,15.1,0.0,Jul-1999,0.0,52.0,,15.0,0.0,11415,40.8,24.0,w,0
66324028,20400,20400,20400.0, 36 months,7.89,638.23,A,A5,Programmer Analyst,7 years,RENT,85000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,076xx,NJ,0.92,0.0,Jun-2008,1.0,,,7.0,0.0,1262,2.5,12.0,w,0
90660687,10000,10000,10000.0, 36 months,12.39,334.01,C,C1,Teacher,10+ years,RENT,60000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,336xx,FL,26.42,0.0,Jun-1995,0.0,,105.0,11.0,1.0,12581,72.3,24.0,w,0
56291108,7000,7000,7000.0, 36 months,11.53,230.94,B,B5,Technician,3 years,RENT,80000.0,Verified,n,,,credit_card,Credit card refinancing,782xx,TX,25.26,1.0,Aug-2004,2.0,6.0,,14.0,0.0,4915,65.5,25.0,f,0
48005372,13000,13000,13000.0, 36 months,9.99,419.42,B,B1,Advocate Supervisor,6 years,MORTGAGE,42000.0,Verified,n,,,debt_consolidation,Debt consolidation,924xx,CA,11.51,2.0,Jun-2003,0.0,16.0,,10.0,0.0,13188,40.7,18.0,w,0
57360026,15000,15000,15000.0, 60 months,14.49,352.85,C,C4,Director of Human Resources,< 1 year,OWN,65000.0,Not Verified,n,,,credit_card,Credit card refinancing,104xx,NY,17.1,2.0,Oct-1998,0.0,10.0,60.0,18.0,1.0,8799,42.7,44.0,w,1
7838510,25000,25000,25000.0, 60 months,13.98,581.45,C,C3,Instructional designer,6 years,MORTGAGE,67000.0,Source Verified,n,,,credit_card,Credit card refinancing,017xx,MA,33.82,0.0,Apr-1986,0.0,59.0,,11.0,0.0,20475,83.9,22.0,w,0
27785883,30000,30000,30000.0, 36 months,8.18,942.59,B,B1,Director of Sales,7 years,MORTGAGE,300000.0,Source Verified,n,,,credit_card,Credit card refinancing,074xx,NJ,11.24,1.0,Nov-1999,1.0,13.0,,10.0,0.0,124856,50.1,17.0,w,0
73342308,15000,15000,15000.0, 60 months,6.92,296.46,A,A4,controller,10+ years,MORTGAGE,110000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,959xx,CA,18.51,0.0,Mar-2003,0.0,,,13.0,0.0,17201,46.9,20.0,w,0
97881753,4500,4500,4500.0, 36 months,14.46,154.81,D,D2,,,RENT,50000.0,Verified,n,,,moving,Moving,189xx,PA,13.51,0.0,Dec-2000,0.0,,,5.0,0.0,7262,96.8,17.0,f,1
68583090,17975,17975,17975.0, 36 months,15.59,628.32,D,D1,manager,9 years,RENT,45000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,921xx,CA,13.2,0.0,Jun-2007,1.0,,,13.0,0.0,15406,69.1,18.0,w,0
63739810,16450,16450,16450.0, 36 months,10.99,538.48,B,B2,Program Coordinator,10+ years,OWN,37379.0,Verified,n,,,debt_consolidation,payoff,700xx,LA,26.45,0.0,Aug-1993,1.0,46.0,,10.0,0.0,21241,66.8,15.0,f,1
64543398,28000,28000,28000.0, 36 months,11.99,929.87,B,B3,Aircraft Maintenance Training Analyst,5 years,MORTGAGE,126000.0,Source Verified,n,,  Borrower added on 02/20/14 > To pay off finances sooner<br>,credit_card,Credit card refinancing,782xx,TX,17.43,0.0,Jun-1988,1.0,46.0,,19.0,0.0,33934,50.1,41.0,f,0
80564933,25475,25475,25475.0, 36 months,13.68,866.73,C,C1,HomeTelos,6 years,MORTGAGE,65000.0,Verified,n,,,other,Personal,190xx,PA,11.5,0.0,Dec-1997,1.0,,,13.0,0.0,3477,5.8,30.0,f,1
4361104,30000,30000,30000.0, 60 months,13.33,687.68,C,C3,Engineer ,6 years,OWN,85000.0,Verified,n,,,debt_consolidation,Debt consolidation,315xx,GA,11.99,0.0,Dec-1998,3.0,,,21.0,0.0,26276,41.0,30.0,w,1
17638513,6000,6000,6000.0, 36 months,10.15,194.03,B,B2,SUPERVISOR,9 years,MORTGAGE,50000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,283xx,NC,24.75,1.0,Jan-2004,3.0,12.0,,18.0,0.0,15822,54.9,32.0,w,0
38348340,8000,8000,7900.0, 60 months,17.56,201.24,E,E4,,,OWN,60000.0,Source Verified,n,,"Borrower added on 09/25/10 > p<br/> Borrower added on 09/25/10 > Hi all!  I need to fix our guesthouse asap. I am using the money for a new stove, fridge, tile, paint etc. It's a project I have wanted to start for quite a while; now that I'm retired, I finally have time to do it. It is much needed and am ready to go!<br/>",home_improvement,Guesthouse,785xx,TX,23.16,4.0,Apr-1993,3.0,9.0,,12.0,0.0,2985,25.3,34.0,f,0
56627239,10500,10500,10500.0, 36 months,14.99,363.94,C,C5,Respiratory therapist,8 years,MORTGAGE,60000.0,Verified,n,,,credit_card,Credit card refinancing,620xx,IL,22.06,0.0,Oct-2000,1.0,,,13.0,0.0,7067,64.2,20.0,f,0
74640329,8000,8000,8000.0, 36 months,6.99,246.99,A,A3,,,RENT,38000.0,Verified,n,,,debt_consolidation,Debt consolidation,087xx,NJ,15.92,0.0,Jul-1982,1.0,27.0,,6.0,0.0,8603,45.5,17.0,f,0
80647083,11500,11500,11500.0, 36 months,13.67,391.21,B,B5,Data Entry,7 years,RENT,35000.0,Verified,n,,,debt_consolidation,Debt consolidation,535xx,WI,19.31,0.0,May-1988,2.0,33.0,,13.0,0.0,11423,31.7,37.0,f,0
20081503,30000,30000,30000.0, 60 months,25.28,885.48,F,F5,HSN,2 years,MORTGAGE,140000.0,Verified,n,,  Borrower added on 08/06/13 > This is to consoidate all debt into one payment per month.<br>,other,Debt Consolidation,342xx,FL,14.1,0.0,Jun-2005,0.0,64.0,,12.0,0.0,18835,68.2,17.0,w,0
52895778,2000,2000,2000.0, 36 months,10.99,65.47,B,B4,,,RENT,18000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,100xx,NY,4.2,0.0,May-2006,0.0,41.0,15.0,6.0,2.0,1606,14.2,10.0,w,0
53249882,5600,5600,5600.0, 36 months,7.12,173.22,A,A3,School Counselor,10+ years,MORTGAGE,70000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,465xx,IN,30.89,0.0,Jun-1998,0.0,,,24.0,0.0,17642,14.6,51.0,f,0
52633703,10000,10000,10000.0, 36 months,6.92,308.41,A,A4,High School Principal,10+ years,MORTGAGE,105423.0,Source Verified,n,,,debt_consolidation,Debt consolidation,231xx,VA,17.25,0.0,Apr-1991,0.0,,,15.0,0.0,22230,36.7,35.0,w,0
11230730,3475,3475,3475.0, 36 months,15.61,121.51,D,D1,AGE Journeyman,8 years,RENT,55000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,925xx,CA,22.17,1.0,Aug-2007,0.0,6.0,,6.0,0.0,2878,26.2,14.0,f,0
27310301,21600,21600,21600.0, 36 months,8.39,680.76,A,A5,Attorney,3 years,MORTGAGE,150000.0,Verified,n,,,debt_consolidation,Debt consolidation,331xx,FL,23.3,0.0,Jan-1994,0.0,72.0,,15.0,0.0,18159,64.2,38.0,w,0
59091871,10000,10000,10000.0, 36 months,8.18,314.2,B,B1,IT Director,10+ years,MORTGAGE,130000.0,Not Verified,n,,,credit_card,Credit card refinancing,945xx,CA,12.34,1.0,Mar-1991,0.0,14.0,,7.0,0.0,27829,73.2,14.0,f,0
47473275,10000,10000,10000.0, 36 months,10.15,323.38,B,B2,Exec Asst ,1 year,MORTGAGE,80000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,900xx,CA,6.94,0.0,Feb-1999,0.0,76.0,,13.0,0.0,20371,35.3,17.0,w,0
60354387,10000,10000,10000.0, 60 months,15.99,243.13,D,D2,CUSTOMER SERVICE,7 years,RENT,28000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,917xx,CA,29.45,0.0,Dec-2008,2.0,,,4.0,0.0,2980,96.1,10.0,w,1
25929295,12000,12000,12000.0, 60 months,15.61,289.34,D,D1,General manager,10+ years,MORTGAGE,139444.0,Not Verified,n,,,other,Other,801xx,CO,15.44,2.0,May-1995,0.0,19.0,,12.0,0.0,9137,58.2,32.0,f,0
84571404,28000,28000,28000.0, 36 months,9.17,892.61,B,B2,Contracts and Purchasing Mgr,1 year,MORTGAGE,65000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,302xx,GA,20.37,0.0,Nov-1994,0.0,,7.0,17.0,1.0,33542,39.8,30.0,w,0
43051751,25000,25000,25000.0, 60 months,10.99,543.44,B,B4,Human Resource,10+ years,MORTGAGE,78000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,312xx,GA,31.77,0.0,Jan-1998,0.0,33.0,,11.0,0.0,21121,47.9,34.0,w,0
81919030,10000,10000,10000.0, 36 months,5.32,301.15,A,A1,Support Manager,8 years,RENT,60000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,060xx,CT,12.09,0.0,Aug-2007,0.0,,,5.0,0.0,8549,44.3,7.0,w,0
27090964,8400,8400,8400.0, 36 months,9.99,271.01,B,B3,Professor,9 years,RENT,61000.0,Verified,n,,,debt_consolidation,Debt consolidation,787xx,TX,26.56,0.0,Oct-2004,1.0,31.0,66.0,10.0,2.0,7720,64.9,32.0,f,0
4659694,12000,12000,12000.0, 36 months,7.26,371.96,A,A4,Executive Director of HR,10+ years,MORTGAGE,137000.0,Not Verified,n,,,vacation,Vacation,284xx,NC,15.47,0.0,Jun-1993,0.0,64.0,,21.0,0.0,16941,31.8,37.0,w,0
58134622,6525,6525,6525.0, 36 months,12.85,219.39,B,B4,HOA Manager,< 1 year,RENT,63000.0,Not Verified,n,,  Borrower added on 01/29/14 > Loan is to pay off two credit cards that have high interest rates.<br>,debt_consolidation,Debt consolidation,328xx,FL,10.36,0.0,Jun-1999,0.0,,,9.0,0.0,5842,53.6,9.0,w,0
62436442,9450,9450,9450.0, 36 months,13.33,319.92,C,C3,,,RENT,19700.0,Verified,n,,,credit_card,Credit card refinancing,640xx,MO,38.15,0.0,Jun-1978,0.0,52.0,,13.0,0.0,18703,46.8,48.0,w,1
40295309,3000,3000,3000.0, 36 months,17.77,108.12,D,D1,Grace Health Center,3 years,RENT,36000.0,Not Verified,n,,,small_business,Business,967xx,HI,20.5,0.0,Apr-1988,0.0,,,10.0,0.0,22020,76.8,19.0,f,0
55303495,8400,8400,8400.0, 36 months,11.67,277.68,B,B4,Customer Service Administrator,10+ years,RENT,62000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,850xx,AZ,34.13,0.0,Jan-1990,1.0,,,21.0,0.0,36318,46.0,34.0,f,0
65979389,6800,6800,6800.0, 36 months,13.67,231.32,B,B5,Department Manager,4 years,RENT,25500.0,Not Verified,n,,,major_purchase,Purchase,373xx,TN,7.76,0.0,Jan-2006,2.0,,,5.0,0.0,509,9.6,10.0,f,1
96675387,11000,11000,11000.0, 60 months,16.2,268.67,C,C4,RN Supervisor,< 1 year,RENT,43000.0,Verified,n,,,debt_consolidation,Debt consolidation,185xx,PA,26.6,0.0,Nov-1993,2.0,,,18.0,0.0,10762,73.2,39.0,w,0
17233114,12000,12000,12000.0, 60 months,15.59,289.21,D,D1,Machinist,2 years,RENT,40000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,906xx,CA,28.16,0.0,Nov-2008,0.0,,,12.0,0.0,6486,40.8,20.0,w,0
8228248,15000,15000,15000.0, 36 months,7.89,469.29,A,A5,Senior Consultant,5 years,RENT,100000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,294xx,SC,22.8,0.0,Oct-1995,0.0,,33.0,20.0,2.0,34041,37.7,25.0,w,0
66225398,6000,6000,6000.0, 36 months,5.32,180.69,A,A1,,,OWN,73000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,013xx,MA,14.48,0.0,Aug-2000,0.0,,,8.0,0.0,33926,58.1,20.0,w,0
4037661,7625,7625,7625.0, 36 months,16.99,271.82,D,D3,Secretary,3 years,MORTGAGE,25000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,140xx,NY,26.05,0.0,Oct-2003,0.0,,,5.0,0.0,4411,61.3,9.0,f,0
41765969,12000,12000,12000.0, 36 months,11.99,398.52,B,B3,Team Member,10+ years,MORTGAGE,70000.0,Not Verified,n,,,debt_consolidation,consolidation,477xx,IN,20.85,0.0,May-1999,0.0,27.0,,10.0,0.0,9437,83.5,27.0,w,0
50350826,10000,10000,10000.0, 36 months,11.53,329.91,B,B5,Program Representative,2 years,RENT,52000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,170xx,PA,14.89,0.0,Oct-1993,1.0,30.0,,8.0,0.0,10675,84.1,46.0,w,0
14542580,6000,6000,6000.0, 36 months,16.78,213.26,C,C5,Community & Southern Bank,2 years,MORTGAGE,125000.0,Not Verified,n,,,vacation,vacation&tuition,306xx,GA,10.9,1.0,Oct-1992,0.0,16.0,,6.0,0.0,38840,84.1,16.0,f,0
1966672,28000,28000,28000.0, 36 months,10.99,916.56,B,B3,MEDICAL DIVISION MANAGER,10+ years,RENT,81245.0,Source Verified,n,,,debt_consolidation,Debt consolidation,606xx,IL,15.86,0.0,Jun-1994,0.0,,,14.0,0.0,34080,66.4,22.0,w,0
64036887,34025,34025,33950.0, 60 months,20.49,910.76,E,E4,Programmer Analyst,3 years,RENT,84000.0,Verified,n,,,debt_consolidation,Debt consolidation,921xx,CA,22.21,0.0,Nov-2006,1.0,,,8.0,0.0,43459,92.9,15.0,w,1
77351555,3000,3000,3000.0, 36 months,11.99,99.63,B,B5,Customer Service,5 years,RENT,30000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,143xx,NY,15.96,0.0,Nov-2003,0.0,,,4.0,0.0,2091,55.0,10.0,f,0
34451549,14000,14000,14000.0, 60 months,13.67,323.37,C,C4,Team leader,7 years,OWN,66500.0,Source Verified,n,,,debt_consolidation,Debt consolidation,307xx,GA,21.84,0.0,May-2006,0.0,,,18.0,0.0,23271,56.2,26.0,w,0
56840280,14000,14000,14000.0, 36 months,13.99,478.42,C,C4,District Manager ,9 years,MORTGAGE,45000.0,Source Verified,n,,,credit_card,Credit card refinancing,724xx,AR,19.87,1.0,Oct-2006,2.0,10.0,,9.0,0.0,10196,68.4,19.0,w,1
73263392,12000,12000,11950.0, 60 months,14.33,281.28,C,C2,County of Ventura Health Care Agency,7 years,RENT,90000.0,Verified,n,,,debt_consolidation,Debt Consolidation,930xx,CA,21.3,0.0,Aug-1982,0.0,,,9.0,0.0,11408,39.6,14.0,f,1
50451004,12825,12825,12825.0, 36 months,9.49,410.77,B,B2,Special Education Teacher,7 years,MORTGAGE,70000.0,Verified,n,,,debt_consolidation,Debt consolidation,954xx,CA,22.27,0.0,Mar-1992,0.0,,,12.0,0.0,16388,34.0,29.0,f,0
24153104,28000,28000,27950.0, 36 months,8.9,889.09,A,A5,"Basic-PSA, Inc",10+ years,MORTGAGE,250000.0,Source Verified,n,,,debt_consolidation,credit card pay off,159xx,PA,17.18,0.0,Dec-1996,0.0,,,23.0,0.0,42071,67.4,56.0,f,0
99137962,19000,19000,19000.0, 60 months,15.22,454.21,C,C3,"Blackbird Technologies, Inc.",2 years,RENT,52000.0,Verified,n,,  Borrower added on 06/25/13 > I'm trying to consolidate debt.<br>,debt_consolidation,BOA Consolidation,226xx,VA,28.15,0.0,Oct-1973,1.0,,,11.0,0.0,22649,59.5,14.0,f,0
11327796,35000,35000,35000.0, 36 months,15.61,1223.77,D,D1,Operations Manager,8 years,RENT,90000.0,Verified,n,,,debt_consolidation,Debt consolidation,912xx,CA,26.75,0.0,Aug-2001,0.0,,,10.0,0.0,25370,97.2,18.0,w,1
81248325,5000,5000,5000.0, 36 months,11.53,164.96,B,B5,Supervisor,10+ years,RENT,62400.0,Source Verified,n,,,debt_consolidation,Debt consolidation,952xx,CA,19.48,0.0,Apr-2002,1.0,49.0,52.0,16.0,1.0,11477,72.6,25.0,w,0
78298567,20050,20050,20050.0, 60 months,21.67,550.01,E,E5,CORPORAL,10+ years,MORTGAGE,71928.0,Verified,n,,,debt_consolidation,Debt consolidation,809xx,CO,26.28,0.0,Aug-2002,0.0,32.0,,10.0,0.0,18849,88.5,30.0,w,0
90819495,7550,7550,7550.0, 36 months,20.5,282.52,E,E1,cashier,8 years,MORTGAGE,28000.0,Not Verified,n,,  Borrower added on 01/06/14 > i want to pay all my credit cards (debt free)<br><br>  Borrower added on 01/06/14 > Sir/Madam:  I want to pay all my credit cards and some doctors bill. Thank You.<br>,debt_consolidation,debt consolidation,296xx,SC,25.29,0.0,Jul-2007,0.0,,,10.0,0.0,9556,59.4,10.0,f,0
33246730,10000,10000,10000.0, 36 months,15.8,350.59,C,C3,magna energy services,2 years,MORTGAGE,180000.0,Verified,n,,  Borrower added on 04/25/13 > I ONLY WANT THE LOAN TO GET A BETTER INTREST RATE ON CREDIT CARD DEBT. WE PURCHASED OUR NEW HOUSE LAST YEAR &amp; WE SPENT MONEY ON CREDIT CARDS TO DO SOME UPGRADES.<br>,credit_card,Credit card refinancing,806xx,CO,15.17,0.0,Jun-2003,1.0,31.0,,11.0,0.0,9783,63.9,28.0,f,0
49078114,15000,15000,15000.0, 60 months,8.18,305.44,B,B1,driver,10+ years,RENT,89000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,273xx,NC,16.01,0.0,Mar-1999,0.0,,,16.0,0.0,20697,33.1,23.0,w,0
21679006,24825,24825,24775.0, 60 months,18.25,633.78,E,E1,Structural Engineer,3 years,RENT,54000.0,Verified,n,,,credit_card,Credit card refinancing,631xx,MO,30.95,0.0,Jan-2008,0.0,,,15.0,0.0,27271,79.7,15.0,w,0
37426607,11375,11375,11375.0, 60 months,19.52,298.34,E,E2,HR Assistant,< 1 year,RENT,33500.0,Source Verified,n,,,other,Other,640xx,MO,28.7,0.0,Jan-1999,0.0,,,13.0,0.0,14310,63.0,28.0,w,0
11006705,7700,7700,7700.0, 36 months,11.53,254.03,B,B5,Driver,10+ years,MORTGAGE,90000.0,Not Verified,n,,,debt_consolidation,Debt consolidation,038xx,NH,24.11,0.0,Sep-2002,1.0,,93.0,8.0,1.0,27884,71.5,21.0,w,0
87502009,19200,19200,19200.0, 60 months,12.59,432.84,C,C2,Studio Manager,2 years,RENT,102000.0,Verified,n,,,credit_card,Credit card refinancing,949xx,CA,22.3,0.0,Aug-1995,0.0,,,21.0,0.0,37187,90.7,34.0,w,0
31749057,20000,20000,20000.0, 60 months,13.33,458.45,C,C3,teacher/ Teacher Leader,9 years,MORTGAGE,74000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,606xx,IL,15.62,0.0,May-2001,0.0,,,7.0,0.0,12366,56.2,21.0,w,0
63055841,7000,7000,7000.0, 36 months,13.49,237.52,C,C1,us forest horseshoe meadow hothots,9 years,RENT,60000.0,Not Verified,n,,  Borrower added on 10/19/11 > debt consolidation<br/>,debt_consolidation,dept consolidation,936xx,CA,8.36,0.0,Oct-2004,2.0,39.0,,9.0,0.0,868,4.5,17.0,f,0
21568351,27500,27500,27450.0, 36 months,9.17,876.68,B,B2,Accounting Manager,9 years,MORTGAGE,70000.0,Verified,n,,,debt_consolidation,Debt consolidation,280xx,NC,24.29,0.0,Sep-1986,1.0,,,21.0,0.0,17257,30.0,31.0,w,0
32395757,11200,11200,11200.0, 60 months,14.49,263.46,C,C4,GM,10+ years,MORTGAGE,85000.0,Source Verified,n,,,credit_card,Credit card refinancing,286xx,NC,26.02,0.0,May-1999,0.0,,,11.0,0.0,26506,77.7,26.0,f,0
35548528,13375,13375,13375.0, 60 months,6.0,330.4,E,E1,Technician,7 years,RENT,60000.0,Source Verified,n,,,debt_consolidation,Debt consolidation,336xx,FL,15.44,0.0,Nov-2004,0.0,68.0,,8.0,0.0,2940,19.2,33.0,w,0
